dt,close,open,ratio
2024/12/6,1.19,1.19,-0.42
2024/12/5,1.195,1.196,0.76
2024/12/4,1.186,1.187,0.51
2024/12/3,1.18,1.175,1.72
2024/12/2,1.16,1.161,0.52
2024/11/29,1.154,1.153,-0.09
2024/11/28,1.155,1.151,-0.26
2024/11/27,1.158,1.16,0.17
2024/11/26,1.156,1.15,0.00
2024/11/25,1.156,1.155,0.78
2024/11/22,1.147,1.145,0.97
2024/11/21,1.136,1.136,-0.79
2024/11/20,1.145,1.143,1.06
2024/11/19,1.133,1.128,0.27
2024/11/18,1.13,1.126,-0.79
2024/11/15,1.139,1.143,-1.47
2024/11/14,1.156,1.154,0.35
2024/11/13,1.152,1.155,-0.69
2024/11/12,1.16,1.158,0.17
2024/11/11,1.158,1.156,0.70
2024/11/8,1.15,1.151,0.88
2024/11/7,1.14,1.143,1.51
2024/11/6,1.123,1.103,3.60
2024/11/5,1.084,1.084,-0.46
2024/11/4,1.089,1.086,0.37
2024/11/1,1.085,1.081,-1.27
2024/10/31,1.099,1.103,-1.79
2024/10/30,1.119,1.118,1.08
2024/10/29,1.107,1.105,-0.27
2024/10/28,1.11,1.111,1.19
2024/10/25,1.097,1.097,0.46
2024/10/24,1.092,1.094,-1.09
2024/10/23,1.104,1.104,0.45
2024/10/22,1.099,1.102,0.00
2024/10/21,1.099,1.101,0.27
2024/10/18,1.096,1.099,-0.72
2024/10/17,1.104,1.095,0.55
2024/10/16,1.098,1.095,-1.08
2024/10/15,1.11,1.099,2.02
2024/10/14,1.088,1.089,0.00
2024/10/11,1.088,1.09,-0.09
2024/10/10,1.089,1.087,1.30
2024/10/9,1.075,1.079,1.61
2024/10/8,1.058,1.045,-0.56
2024/9/30,1.064,1.061,-0.47
2024/9/27,1.069,1.074,-1.57
2024/9/26,1.086,1.08,1.50
2024/9/25,1.07,1.073,-0.93
2024/9/24,1.08,1.086,-0.55
2024/9/23,1.086,1.087,0.46
2024/9/20,1.081,1.087,0.46
2024/9/19,1.076,1.07,1.03
2024/9/18,1.065,1.07,-0.56
2024/9/13,1.071,1.074,0.47
2024/9/12,1.066,1.06,3.29
2024/9/11,1.032,1.035,0.78
2024/9/10,1.024,1.026,0.69
2024/9/9,1.017,1.01,-0.88
2024/9/6,1.026,1.015,0.29
2024/9/5,1.023,1.024,0.69
2024/9/4,1.016,1.03,-5.31
2024/9/3,1.073,1.076,0.00
2024/9/2,1.073,1.074,0.66
2024/8/30,1.066,1.059,1.04
2024/8/29,1.055,1.056,-2.22
2024/8/28,1.079,1.076,0.37
2024/8/27,1.075,1.08,-1.38
2024/8/26,1.09,1.098,0.09
2024/8/23,1.089,1.085,-1.00
2024/8/22,1.1,1.106,0.09
2024/8/21,1.099,1.097,-0.36
2024/8/20,1.103,1.099,2.22
2024/8/19,1.079,1.095,-1.73
2024/8/16,1.098,1.083,4.08
2024/8/15,1.055,1.051,0.67
2024/8/14,1.048,1.052,1.95
2024/8/13,1.028,1.024,0.69
2024/8/12,1.021,1.018,0.89
2024/8/9,1.012,1.017,2.85
2024/8/8,0.984,0.987,-1.70
2024/8/7,1.001,1,0.00
2024/8/6,1.001,1.002,3.73
2024/8/5,0.965,0.991,-7.30
2024/8/2,1.041,1.059,-5.45
2024/8/1,1.101,1.098,2.61
2024/7/31,1.073,1.063,0.37
2024/7/30,1.069,1.072,-1.29
2024/7/29,1.083,1.075,1.98
2024/7/26,1.062,1.054,0.00
2024/7/25,1.062,1.063,-2.75
2024/7/24,1.092,1.103,-1.71
2024/7/23,1.111,1.116,0.82
2024/7/22,1.102,1.096,-0.18
2024/7/19,1.104,1.108,-1.52
2024/7/18,1.121,1.103,-1.67
2024/7/17,1.14,1.15,-1.04
2024/7/16,1.152,1.156,-0.17
2024/7/15,1.154,1.133,2.85
2024/7/12,1.122,1.127,-3.69
2024/7/11,1.165,1.161,1.22
2024/7/10,1.151,1.161,-0.78
2024/7/9,1.16,1.161,0.43
2024/7/8,1.155,1.157,0.96
2024/7/5,1.144,1.138,0.79
2024/7/4,1.135,1.15,0.35
2024/7/3,1.131,1.125,2.17
